eventID,eventDate,year,month,day,decimalLatitude,decimalLongitude,maximumDepthInMeters,minimumDepthInMeters,footprintWKT,coordinateUncertaintyInMeters,geodeticDatum
IYS:GoA2019:Stn1:juday,2019-02-18T20:55:00Z,2019,2,18,48.3,-128.52,200,0,POINT  ( -128.52   48.3 ),0,WGS84
IYS:GoA2019:Stn2:juday,2019-02-19T07:05:00Z,2019,2,19,48.18,-129.92,200,0,POINT  ( -129.92   48.18 ),0,WGS84
IYS:GoA2019:Stn3:juday,2019-02-21T08:21:00Z,2019,2,21,47.67,-137,200,0,POINT  ( -137   47.67 ),0,WGS84
IYS:GoA2019:Stn4:juday,2019-02-21T19:20:00Z,2019,2,21,47.67,-138.5,200,0,POINT  ( -138.5   47.67 ),0,WGS84
IYS:GoA2019:Stn5:juday,2019-02-22T07:00:00Z,2019,2,22,47.67,-140,200,0,POINT  ( -140   47.67 ),0,WGS84
IYS:GoA2019:Stn6:juday,2019-02-22T17:45:00Z,2019,2,22,47.67,-141.5,200,0,POINT  ( -141.5   47.67 ),0,WGS84
IYS:GoA2019:Stn7:juday,2019-02-23T03:20:00Z,2019,2,23,47.67,-143,200,0,POINT  ( -143   47.67 ),0,WGS84
IYS:GoA2019:Stn8:juday,2019-02-23T11:40:00Z,2019,2,23,47.67,-144.5,200,0,POINT  ( -144.5   47.67 ),0,WGS84
IYS:GoA2019:Stn9:juday,2019-02-23T20:15:00Z,2019,2,23,47.67,-145.87,200,0,POINT  ( -145.87   47.67 ),0,WGS84
IYS:GoA2019:Stn10:juday,2019-02-24T04:50:00Z,2019,2,24,47.67,-147.5,200,0,POINT  ( -147.5   47.67 ),0,WGS84
IYS:GoA2019:Stn11:juday,2019-02-24T14:25:00Z,2019,2,24,48.67,-147.5,200,0,POINT  ( -147.5   48.67 ),0,WGS84
IYS:GoA2019:Stn12:juday,2019-02-24T23:00:00Z,2019,2,24,49.67,-147.5,200,0,POINT  ( -147.5   49.67 ),0,WGS84
IYS:GoA2019:Stn13:juday,2019-02-25T08:36:00Z,2019,2,25,50.67,-147.5,200,0,POINT  ( -147.5   50.67 ),0,WGS84
IYS:GoA2019:Stn14:juday,2019-02-25T17:05:00Z,2019,2,25,51.67,-147.5,200,0,POINT  ( -147.5   51.67 ),0,WGS84
IYS:GoA2019:Stn15:juday,2019-02-26T01:30:00Z,2019,2,26,52.67,-147.5,200,0,POINT  ( -147.5   52.67 ),0,WGS84
IYS:GoA2019:Stn16:juday,2019-02-26T09:25:00Z,2019,2,26,53.67,-147.5,200,0,POINT  ( -147.5   53.67 ),0,WGS84
IYS:GoA2019:Stn17:juday,2019-02-26T17:32:00Z,2019,2,26,54.67,-147.5,200,0,POINT  ( -147.5   54.67 ),0,WGS84
IYS:GoA2019:Stn18:juday,2019-02-27T02:30:00Z,2019,2,27,55.67,-147.5,200,0,POINT  ( -147.5   55.67 ),0,WGS84
IYS:GoA2019:Stn19:juday,2019-02-27T10:27:00Z,2019,2,27,56.67,-147.5,200,0,POINT  ( -147.5   56.67 ),0,WGS84
IYS:GoA2019:Stn20:juday,2019-02-27T18:15:00Z,2019,2,27,56.67,-146,200,0,POINT  ( -146   56.67 ),0,WGS84
IYS:GoA2019:Stn21:juday,2019-02-28T01:50:00Z,2019,2,28,56.67,-144.5,200,0,POINT  ( -144.5   56.67 ),0,WGS84
IYS:GoA2019:Stn22:juday,2019-02-28T09:05:00Z,2019,2,28,56.67,-143,200,0,POINT  ( -143   56.67 ),0,WGS84
IYS:GoA2019:Stn23:juday,2019-02-28T17:25:00Z,2019,2,28,55.67,-143,200,0,POINT  ( -143   55.67 ),0,WGS84
IYS:GoA2019:Stn24:juday,2019-03-01T01:15:00Z,2019,3,1,55.67,-144.5,200,0,POINT  ( -144.5   55.67 ),0,WGS84
IYS:GoA2019:Stn25:juday,2019-03-01T08:30:00Z,2019,3,1,55.67,-146,200,0,POINT  ( -146   55.67 ),0,WGS84
IYS:GoA2019:Stn26:juday,2019-03-01T16:40:00Z,2019,3,1,54.67,-146,200,0,POINT  ( -146   54.67 ),0,WGS84
IYS:GoA2019:Stn27:juday,2019-03-02T00:50:00Z,2019,3,2,54.67,-146,200,0,POINT  ( -146   54.67 ),0,WGS84
IYS:GoA2019:Stn28:juday,2019-03-02T08:40:00Z,2019,3,2,52.67,-145,200,0,POINT  ( -145   52.67 ),0,WGS84
IYS:GoA2019:Stn29:juday,2019-03-02T16:45:00Z,2019,3,2,51.67,-146,200,0,POINT  ( -146   51.67 ),0,WGS84
IYS:GoA2019:Stn30:juday,2019-03-03T01:05:00Z,2019,3,3,50.67,-146,200,0,POINT  ( -146   50.67 ),0,WGS84
IYS:GoA2019:Stn31:juday,2019-03-03T09:00:00Z,2019,3,3,49.67,-146,200,0,POINT  ( -146   49.67 ),0,WGS84
IYS:GoA2019:Stn32:juday,2019-03-03T17:35:00Z,2019,3,3,48.67,-146,200,0,POINT  ( -146   48.67 ),0,WGS84
IYS:GoA2019:Stn33:juday,2019-03-04T01:51:00Z,2019,3,4,48.67,-144.5,200,0,POINT  ( -144.5   48.67 ),0,WGS84
IYS:GoA2019:Stn34:juday,2019-03-04T09:50:00Z,2019,3,4,49.67,-144.5,200,0,POINT  ( -144.5   49.67 ),0,WGS84
IYS:GoA2019:Stn35:juday,2019-03-04T18:17:00Z,2019,3,4,50.67,-144.5,200,0,POINT  ( -144.5   50.67 ),0,WGS84
IYS:GoA2019:Stn36:juday,2019-03-05T02:25:00Z,2019,3,5,51.67,-144.5,200,0,POINT  ( -144.5   51.67 ),0,WGS84
IYS:GoA2019:Stn37:juday,2019-03-05T10:20:00Z,2019,3,5,52.67,-144.5,200,0,POINT  ( -144.5   52.67 ),0,WGS84
IYS:GoA2019:Stn38:juday,2019-03-05T18:05:00Z,2019,3,5,53.67,-144.5,200,0,POINT  ( -144.5   53.67 ),0,WGS84
IYS:GoA2019:Stn39:juday,2019-03-06T02:11:00Z,2019,3,6,54.67,-144.5,200,0,POINT  ( -144.5   54.67 ),0,WGS84
IYS:GoA2019:Stn40:juday,2019-03-06T09:10:00Z,2019,3,6,54.67,-143,200,0,POINT  ( -143   54.67 ),0,WGS84
IYS:GoA2019:Stn41:juday,2019-03-06T17:15:00Z,2019,3,6,53.67,-143,200,0,POINT  ( -143   53.67 ),0,WGS84
IYS:GoA2019:Stn42:juday,2019-03-07T01:15:00Z,2019,3,7,52.67,-143,200,0,POINT  ( -143   52.67 ),0,WGS84
IYS:GoA2019:Stn43:juday,2019-03-07T09:23:00Z,2019,3,7,51.67,-143,200,0,POINT  ( -143   51.67 ),0,WGS84
IYS:GoA2019:Stn44:juday,2019-03-07T17:38:00Z,2019,3,7,50.67,-143,200,0,POINT  ( -143   50.67 ),0,WGS84
IYS:GoA2019:Stn45:juday,2019-03-08T02:35:00Z,2019,3,8,49.67,-143,200,0,POINT  ( -143   49.67 ),0,WGS84
IYS:GoA2019:Stn46:juday,2019-03-08T12:19:00Z,2019,3,8,48.67,-143,200,0,POINT  ( -143   48.67 ),0,WGS84
IYS:GoA2019:Stn47:juday,2019-03-08T20:30:00Z,2019,3,8,48.67,-141.5,200,0,POINT  ( -141.5   48.67 ),0,WGS84
IYS:GoA2019:Stn48:juday,2019-03-09T05:50:00Z,2019,3,9,49.67,-141.5,200,0,POINT  ( -141.5   49.67 ),0,WGS84
IYS:GoA2019:Stn49:juday,2019-03-09T14:24:00Z,2019,3,9,50.67,-141.5,200,0,POINT  ( -141.5   50.67 ),0,WGS84
IYS:GoA2019:Stn50:juday,2019-03-09T22:56:00Z,2019,3,9,51.67,-141.5,200,0,POINT  ( -141.5   51.67 ),0,WGS84
IYS:GoA2019:Stn51:juday,2019-03-10T06:55:00Z,2019,3,10,52.67,-141.5,200,0,POINT  ( -141.5   52.67 ),0,WGS84
IYS:GoA2019:Stn52:juday,2019-03-10T15:02:00Z,2019,3,10,53.67,-141.5,200,0,POINT  ( -141.5   53.67 ),0,WGS84
IYS:GoA2019:Stn53:juday,2019-03-10T23:07:00Z,2019,3,10,53.67,-140,200,0,POINT  ( -140   53.67 ),0,WGS84
IYS:GoA2019:Stn54:juday,2019-03-11T11:30:00Z,2019,3,11,52.67,-140,200,0,POINT  ( -140   52.67 ),0,WGS84
IYS:GoA2019:Stn55:juday,2019-03-11T22:24:00Z,2019,3,11,51.67,-140,200,0,POINT  ( -140   51.67 ),0,WGS84
IYS:GoA2019:Stn56:juday,2019-03-12T15:50:00Z,2019,3,12,50.67,-140,200,0,POINT  ( -140   50.67 ),0,WGS84
IYS:GoA2019:Stn57:juday,2019-03-13T00:27:00Z,2019,3,13,50.67,-138.5,200,0,POINT  ( -138.5   50.67 ),0,WGS84
IYS:GoA2019:Stn58:juday,2019-03-13T18:08:00Z,2019,3,13,49.67,-138.5,200,0,POINT  ( -138.5   49.67 ),0,WGS84
IYS:GoA2019:Stn59:juday,2019-03-14T07:40:00Z,2019,3,14,48.67,-138.5,200,0,POINT  ( -138.5   48.67 ),0,WGS84
IYS:GoA2019:Stn60:juday,2019-03-14T15:59:00Z,2019,3,14,48.67,-137,200,0,POINT  ( -137   48.67 ),0,WGS84
