eventID,occurrenceID,occurrenceStatus,basisOfRecord,scientificName,scientificNameID,identificationQualifier,lifeStage,taxonRank,taxonomicStatus,scientificNameAuthorship,kingdom,phylum,class,order,family,genus,specificEpithet
IYS:GoA2019:Stn1:juday,IYS:GoA2019:Stn1:juday:zoop_occ:1,present,PreservedSpecimen,Copepoda,urn:lsid:marinespecies.org:taxname:1080,,Nauplius,Class,accepted,"Milne Edwards, 1840",Animalia,Arthropoda,Copepoda,NA,NA,NA,NA
IYS:GoA2019:Stn1:juday,IYS:GoA2019:Stn1:juday:zoop_occ:2,present,PreservedSpecimen,Copepoda,urn:lsid:marinespecies.org:taxname:1080,,CI/CII,Class,accepted,"Milne Edwards, 1840",Animalia,Arthropoda,Copepoda,NA,NA,NA,NA
IYS:GoA2019:Stn1:juday,IYS:GoA2019:Stn1:juday:zoop_occ:3,present,PreservedSpecimen,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,,NA,Genus,accepted,"Sars G.O., 1925",Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,NA
IYS:GoA2019:Stn1:juday,IYS:GoA2019:Stn1:juday:zoop_occ:4,present,PreservedSpecimen,Metridia,urn:lsid:marinespecies.org:taxname:104190,,NA,Genus,accepted,"Boeck, 1865",Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,NA
IYS:GoA2019:Stn1:juday,IYS:GoA2019:Stn1:juday:zoop_occ:5,present,PreservedSpecimen,Microcalanus pygmaeus,urn:lsid:marinespecies.org:taxname:104513,,NA,Species,accepted,"(Sars G.O., 1900)",Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus,pygmaeus
IYS:GoA2019:Stn1:juday,IYS:GoA2019:Stn1:juday:zoop_occ:6,present,PreservedSpecimen,Oithona similis,urn:lsid:marinespecies.org:taxname:106656,,NA,Species,accepted,"Claus, 1866",Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,similis
IYS:GoA2019:Stn1:juday,IYS:GoA2019:Stn1:juday:zoop_occ:7,present,PreservedSpecimen,Oithona plumifera,urn:lsid:marinespecies.org:taxname:106652,,NA,Species,accepted,"Baird, 1843",Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,plumifera
IYS:GoA2019:Stn1:juday,IYS:GoA2019:Stn1:juday:zoop_occ:8,present,PreservedSpecimen,Pseudocalanus newmani,urn:lsid:marinespecies.org:taxname:157679,,NA,Species,accepted,"Frost, 1989",Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,newmani
IYS:GoA2019:Stn1:juday,IYS:GoA2019:Stn1:juday:zoop_occ:9,present,PreservedSpecimen,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,,NA,Species,accepted,"(Phipps, 1774)",Animalia,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,helicina
IYS:GoA2019:Stn1:juday,IYS:GoA2019:Stn1:juday:zoop_occ:10,present,PreservedSpecimen,Polychaeta,urn:lsid:marinespecies.org:taxname:883,,Larvae,Class,accepted,"Grube, 1850",Animalia,Annelida,Polychaeta,NA,NA,NA,NA
